ingredient_code,ingredient_name_eng,dur_categories,elderly_caution_detail,ingredient_name_kor,category,common_dose
486001ATD,Deferasirox,임산부금기,,,,
486002ATD,Deferasirox,임산부금기,,,,
486003ATD,Deferasirox,임산부금기,,,,
486004ATB,Deferasirox,임산부금기,,,,
486005ATB,Deferasirox,임산부금기,,,,
486006ATB,Deferasirox,임산부금기,,,,
486007ASS,Deferasirox,임산부금기,,,,
486009APD,Deferasirox,임산부금기,,,,
486010ASS,Deferasirox,임산부금기,,,,
140701BIJ,Deferoxamine,임산부금기,,,,
631101ATB,Delamanid,임산부금기,,,,
141330CLQ,Desflurane,임산부금기,,,,
141531CCM,Desonide,임산부금기,,,,
141533CCM,Desonide,임산부금기,,,,
141535CLT,Desonide,임산부금기,,,,
141537CLT,Desonide,임산부금기,,,,
141540CLT,Desonide,임산부금기,,,,
141542CCM,Desonide,임산부금기,,,,
141543CLT,Desonide,임산부금기,,,,
141631CCM,Desoximetasone,임산부금기,,,,
141632CCM,Desoximetasone,임산부금기,,,,
141633CLT,Desoximetasone,임산부금기,,,,
141634CLT,Desoximetasone,임산부금기,,,,
141634COM,Desoximetasone,임산부금기,,,,
141635COM,Desoximetasone,임산부금기,,,,
141636CCM,Desoximetasone,임산부금기,,,,
141638COM,Desoximetasone,임산부금기,,,,
142501BIJ,Dexrazoxane,임산부금기,,,,
142801ACH,Diacerein,임산부금기,,,,
142802ACH,Diacerein,임산부금기,,,,
367730ASS,Diazoxide,임산부금기,,,,
144430CCM,Diflorasone diacetate,임산부금기,,,,
144431CCM,Diflorasone diacetate,임산부금기,,,,
144432CCM,Diflorasone diacetate,임산부금기,,,,
144433CCM,Diflorasone diacetate,임산부금기,,,,
144434CCM,Diflorasone diacetate,임산부금기,,,,
144530COM,Diflucortolone valerate,임산부금기,,,,
144532CLT,Diflucortolone valerate,임산부금기,,,,
528800CCM,Diflucortolone valerate,임산부금기,,,,
528900CCM,Diflucortolone valerate,임산부금기,,,,
548200CCM,Diflucortolone valerate,임산부금기,,,,
548300CCM,Diflucortolone valerate,임산부금기,,,,
548500CCM,Diflucortolone valerate,임산부금기,,,,
144731CCM,Difluprednate,임산부금기,,,,
144901ATR,Dihydrocodeine,임산부금기,,,,
145901ATB,Dimenhydrinate,임산부금기,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,,
447800ATB,Dimenhydrinate,임산부금기,,,,
A18000ASY,Dimenhydrinate,임산부금기,,,,
A18100ASY,Dimenhydrinate,임산부금기,,,,
D04600ATB,Dimenhydrinate,임산부금기,,,,
D70800ASY,Dimenhydrinate,임산부금기,,,,
D85200ALQ,Dimenhydrinate,임산부금기,,,,
E08600ASY,Dimenhydrinate,임산부금기,,,,
E20500ALQ,Dimenhydrinate,임산부금기,,,,
E22700ALQ,Dimenhydrinate,임산부금기,,,,
E23600ALQ,Dimenhydrinate,임산부금기,,,,
D62700ATB,"Dimenhydrinate, Scopolamine hydrobromide",임산부금기,,,,
146430ASS,Dioctahedral smectite,임산부금기,,,,
146431ASS,Dioctahedral smectite,임산부금기,,,,
146432ASS,Dioctahedral smectite,임산부금기,,,,
628601ATB,Dolutegravir,임산부금기,,,,
677800ATB,"Dolutegravir, rilpivirine",임산부금기,,,,
148601ATB,Donepezil,임산부금기,,,,
148601ATD,Donepezil,임산부금기,,,,
148602ATB,Donepezil,임산부금기,,,,
148602ATD,Donepezil,임산부금기,,,,
148603ATB,Donepezil,임산부금기,,,,
148830COS,Dorzolamide,임산부금기,,,,
538300COS,"Dorzolamide, Timolol",임산부금기,,,,
538400COS,"Dorzolamide, Timolol",임산부금기,,,,
541500COS,"Dorzolamide, Timolol",임산부금기,,,,
541600COS,"Dorzolamide, Timolol",임산부금기,,,,
541700COS,"Dorzolamide, Timolol",임산부금기,,,,
541900COS,"Dorzolamide, Timolol",임산부금기,,,,
149203ATB,Doxepin,임산부금기,,,,
149204ATB,Doxepin,임산부금기,,,,
451901CCM,Doxepin,임산부금기,,,,
676901BIJ,Durvalumab,임산부금기,,,,
676902BIJ,Durvalumab,임산부금기,,,,
150931BIJ,Edetate calcium disodium,임산부금기,,,,
150930BIJ,Edetate calcium disodium (Calcium EDTA),임산부금기,,,,
700001BIJ,Eflapegrastim,임산부금기,,,,
670201BIJ,Efmoroctocog alfa,임산부금기,,,,
670202BIJ,Efmoroctocog alfa,임산부금기,,,,
670203BIJ,Efmoroctocog alfa,임산부금기,,,,
670204BIJ,Efmoroctocog alfa,임산부금기,,,,
151130BIJ,Elcatonin,임산부금기,,,,
151131BIJ,Elcatonin,임산부금기,,,,
590701ATB,Eltrombopag,임산부금기,,,,
590702ATB,Eltrombopag,임산부금기,,,,
487202ATB,Entecavir,임산부금기,,,,
487202ATD,Entecavir,임산부금기,,,,
487203ATB,Entecavir,임산부금기,,,,
487203ATD,Entecavir,임산부금기,,,,
674301ATB,Ertugliflozin,임산부금기,,,,
706100ATB,Esomeprazole,임산부금기,,,,
719500ATB,Esomeprazole,임산부금기,,,,
719600ATB,Esomeprazole,임산부금기,,,,
155602ATB,Ethambutol,임산부금기,,,,
155604ATB,Ethambutol,임산부금기,,,,
155605ATB,Ethambutol,임산부금기,,,,
157030BIJ,Etomidate,임산부금기,,,,
572201CIM,Etonogestrel,임산부금기,,,,
251201ACS,Evening primrose oil,임산부금기,,,,
251202ACS,Evening primrose oil,임산부금기,,,,
666801BIJ,Factor IX Fc fusion protein recombinant,임산부금기,,,,
666802BIJ,Factor IX Fc fusion protein recombinant,임산부금기,,,,
666803BIJ,Factor IX Fc fusion protein recombinant,임산부금기,,,,
666804BIJ,Factor IX Fc fusion protein recombinant,임산부금기,,,,
666805BIJ,Factor IX Fc fusion protein recombinant,임산부금기,,,,
621101ATR,Fampridine,임산부금기,,,,
158209CPC,Fentanyl,임산부금기,,,,
158210CPC,Fentanyl,임산부금기,,,,
158211CPC,Fentanyl,임산부금기,,,,
158213CPC,Fentanyl,임산부금기,,,,
158216CPC,Fentanyl,임산부금기,,,,
704701ATB,Fexuprazan,임산부금기,,,,
704702ATB,Fexuprazan,임산부금기,,,,
673201BIJ,Florapronol (18F),임산부금기,,,,
159702ATB,Flubendazole,임산부금기,,,,
159730ASY,Flubendazole,임산부금기,,,,
712001BIJ,Fluciclovine(18F),임산부금기,,,,
542400CLQ,Fluocinolone acetonide,임산부금기,,,,
160832CCM,Fluocinonide,임산부금기,,,,
160834CLQ,Fluocinonide,임산부금기,,,,
160835CCM,Fluocinonide,임산부금기,,,,
160836CCM,Fluocinonide,임산부금기,,,,
161209COS,Fluorometholone,임산부금기,,,,
161231COS,Fluorometholone,임산부금기,,,,
161232COS,Fluorometholone,임산부금기,,,,
161237COS,Fluorometholone,임산부금기,,,,
161238COS,Fluorometholone,임산부금기,,,,
161242COS,Fluorometholone,임산부금기,,,,
161243COS,Fluorometholone,임산부금기,,,,
161244COS,Fluorometholone,임산부금기,,,,
161330COS,Fluorometholone,임산부금기,,,,
538800COS,Fluorometholone,임산부금기,,,,
538900COS,Fluorometholone,임산부금기,,,,
642200COS,Fluorometholone,임산부금기,,,,
643100COS,Fluorometholone,임산부금기,,,,
616001BIJ,Fosaprepitant,임산부금기,,,,
600201BIJ,Freeze-dried BCG Vaccine,임산부금기,,,,
600206BIJ,Freeze-dried BCG Vaccine,임산부금기,,,,
699601BIJ,Fremanezumab,임산부금기,,,,
164201ACH,Gabapentin,임산부금기,,,,
164202ACH,Gabapentin,임산부금기,,,,
164203ACH,Gabapentin,임산부금기,,,,
164204ATB,Gabapentin,임산부금기,,,,
164205ATB,Gabapentin,임산부금기,,,,
466831BIJ,Gadobenate dimeglumine,임산부금기,,,,
615130BIJ,Gadoteridol,임산부금기,,,,
615131BIJ,Gadoteridol,임산부금기,,,,
615132BIJ,Gadoteridol,임산부금기,,,,
615133BIJ,Gadoteridol,임산부금기,,,,
615134BIJ,Gadoteridol,임산부금기,,,,
615135BIJ,Gadoteridol,임산부금기,,,,
487301BIJ,"Gadoxetic acid disodium(gadolinium oxide 453.12mg, EOB-DTPA 1327.17mg)",임산부금기,,,,
385203ACR,Galantamine,임산부금기,,,,
385203ATR,Galantamine,임산부금기,,,,
385204ACR,Galantamine,임산부금기,,,,
385204ATR,Galantamine,임산부금기,,,,
385205ACR,Galantamine,임산부금기,,,,
385205ATR,Galantamine,임산부금기,,,,
683901BIJ,Galcanezumab,임산부금기,,,,
165343ALQ,Ginkgo biloba leaf extract,임산부금기,,,,
328200BIJ,Glycerin,임산부금기,,,,
354500BIJ,Glycerin,임산부금기,,,,
392030CLQ,Glycerin,임산부금기,,,,
392031CLQ,Glycerin,임산부금기,,,,
392032CLQ,Glycerin,임산부금기,,,,
392034CLQ,Glycerin,임산부금기,,,,
D73700ACS,Glycerin,임산부금기,,,,
167301ATB,Granisetron,임산부금기,,,,
167301ATD,Granisetron,임산부금기,,,,
167330BIJ,Granisetron,임산부금기,,,,
167331BIJ,Granisetron,임산부금기,,,,
505701CPC,Granisetron,임산부금기,,,,
670901BIJ,Guselkumab,임산부금기,,,,
168630BIJ,Heparin,임산부금기,,,,
168631BIJ,Heparin,임산부금기,,,,
168632BIJ,Heparin,임산부금기,,,,
168633BIJ,Heparin,임산부금기,,,,
168634BIJ,Heparin,임산부금기,,,,
168635BIJ,Heparin,임산부금기,,,,
168636BIJ,Heparin,임산부금기,,,,
168637BIJ,Heparin,임산부금기,,,,
168638BIJ,Heparin,임산부금기,,,,
169130COS,Homatropine,임산부금기,,,,
441102ATB,Hydromorphone,임산부금기,,,,
441104ATB,Hydromorphone,임산부금기,,,,
441130BIJ,Hydromorphone,임산부금기,,,,
441131BIJ,Hydromorphone,임산부금기,,,,
285500ATB,"Hydrotalcite, Azulene, L-glutamine",연령금기,,,,
172849BIJ,Ibuprofen,임산부금기,,이부프로펜,소염진통,"1회 1캡슐, 1일 3회"
D47800ATB,Ibuprofen,임산부금기,,이부프로펜,소염진통,"1회 1캡슐, 1일 3회"
E30600ACS,Ibuprofen,임산부금기,,이부프로펜,소염진통,"1회 1캡슐, 1일 3회"
D51001ATB,Ibuprofen arginine,임산부금기,,,,
D35900ATB,Ibuprofen+Powdered Glycyrrhiza+Powdered Peony Root,임산부금기,,,,
569230BIJ,Inactivated Hantaan Virus,임산부금기,,,,
175001ATB,Inosiplex,임산부금기,,,,
175030ASY,Inosiplex,임산부금기,,,,
676501BIJ,Inotuzumab ozogamicin,임산부금기,,,,
626700BIJ,Insulin Aspart + insulin degludec,임산부금기,,,,
626830BIJ,Insulin degludec,임산부금기,,,,
176030BIJ,Iobitridol,임산부금기,,,,
176031BIJ,Iobitridol,임산부금기,,,,
176032BIJ,Iobitridol,임산부금기,,,,
176033BIJ,Iobitridol,임산부금기,,,,
176034BIJ,Iobitridol,임산부금기,,,,
176035BIJ,Iobitridol,임산부금기,,,,
176038BIJ,Iobitridol,임산부금기,,,,
176039BIJ,Iobitridol,임산부금기,,,,
642600ALQ,Iodine + Potassium iodide,임산부금기,,,,
156030BIJ,Iodised oil,임산부금기,,,,
156031BIJ,Iodised oil,임산부금기,,,,
176132BIJ,Iodixanol,임산부금기,,,,
176133BIJ,Iodixanol,임산부금기,,,,
176134BIJ,Iodixanol,임산부금기,,,,
176135BIJ,Iodixanol,임산부금기,,,,
176137BIJ,Iodixanol,임산부금기,,,,
176139BIJ,Iodixanol,임산부금기,,,,
176331BIJ,Iohexol,임산부금기,,,,
176333BIJ,Iohexol,임산부금기,,,,
176334BIJ,Iohexol,임산부금기,,,,
176335BIJ,Iohexol,임산부금기,,,,
176336BIJ,Iohexol,임산부금기,,,,
176337BIJ,Iohexol,임산부금기,,,,
176338BIJ,Iohexol,임산부금기,,,,
176339BIJ,Iohexol,임산부금기,,,,
176340BIJ,Iohexol,임산부금기,,,,
176341BIJ,Iohexol,임산부금기,,,,
176342BIJ,Iohexol,임산부금기,,,,
176343BIJ,Iohexol,임산부금기,,,,
176344BIJ,Iohexol,임산부금기,,,,
176345BIJ,Iohexol,임산부금기,,,,
176346BIJ,Iohexol,임산부금기,,,,
176348BIJ,Iohexol,임산부금기,,,,
176350BIJ,Iohexol,임산부금기,,,,
176351BIJ,Iohexol,임산부금기,,,,
176352BIJ,Iohexol,임산부금기,,,,
176353BIJ,Iohexol,임산부금기,,,,
176358BIJ,Iohexol,임산부금기,,,,
176362BIJ,Iohexol,임산부금기,,,,
176364BIJ,Iohexol,임산부금기,,,,
176374BIJ,Iohexol,임산부금기,,,,
176388BIJ,Iohexol,임산부금기,,,,
176389BIJ,Iohexol,임산부금기,,,,
176431BIJ,Iomeprol,임산부금기,,,,
176432BIJ,Iomeprol,임산부금기,,,,
176433BIJ,Iomeprol,임산부금기,,,,
176435BIJ,Iomeprol,임산부금기,,,,
176436BIJ,Iomeprol,임산부금기,,,,
176437BIJ,Iomeprol,임산부금기,,,,
176438BIJ,Iomeprol,임산부금기,,,,
176439BIJ,Iomeprol,임산부금기,,,,
176440BIJ,Iomeprol,임산부금기,,,,
176441BIJ,Iomeprol,임산부금기,,,,
176442BIJ,Iomeprol,임산부금기,,,,
176517BIJ,Iopamidol,임산부금기,,,,
176530BIJ,Iopamidol,임산부금기,,,,
176531BIJ,Iopamidol,임산부금기,,,,
176532BIJ,Iopamidol,임산부금기,,,,
176534BIJ,Iopamidol,임산부금기,,,,
176535BIJ,Iopamidol,임산부금기,,,,
176536BIJ,Iopamidol,임산부금기,,,,
176537BIJ,Iopamidol,임산부금기,,,,
176538BIJ,Iopamidol,임산부금기,,,,
176540BIJ,Iopamidol,임산부금기,,,,
176541BIJ,Iopamidol,임산부금기,,,,
176542BIJ,Iopamidol,임산부금기,,,,
176543BIJ,Iopamidol,임산부금기,,,,
176544BIJ,Iopamidol,임산부금기,,,,
176545BIJ,Iopamidol,임산부금기,,,,
176546BIJ,Iopamidol,임산부금기,,,,
176547BIJ,Iopamidol,임산부금기,,,,
176548BIJ,Iopamidol,임산부금기,,,,
176550BIJ,Iopamidol,임산부금기,,,,
176551BIJ,Iopamidol,임산부금기,,,,
176554BIJ,Iopamidol,임산부금기,,,,
176731BIJ,Iopromide,임산부금기,,,,
176732BIJ,Iopromide,임산부금기,,,,
176733BIJ,Iopromide,임산부금기,,,,
176736BIJ,Iopromide,임산부금기,,,,
176737BIJ,Iopromide,임산부금기,,,,
176738BIJ,Iopromide,임산부금기,,,,
176745BIJ,Iopromide,임산부금기,,,,
176746BIJ,Iopromide,임산부금기,,,,
176750BIJ,Iopromide,임산부금기,,,,
176930BIJ,Ioversol,임산부금기,,,,
176933BIJ,Ioversol,임산부금기,,,,
176934BIJ,Ioversol,임산부금기,,,,
176936BIJ,Ioversol,임산부금기,,,,
176937BIJ,Ioversol,임산부금기,,,,
176938BIJ,Ioversol,임산부금기,,,,
176942BIJ,Ioversol,임산부금기,,,,
176943BIJ,Ioversol,임산부금기,,,,
176944BIJ,Ioversol,임산부금기,,,,
176945BIJ,Ioversol,임산부금기,,,,
494201ATB,Irsogladine,임산부금기,,,,
494201ATD,Irsogladine,임산부금기,,,,
494202ATB,Irsogladine,임산부금기,,,,
494202ATD,Irsogladine,임산부금기,,,,
178101ATB,Isoniazid,임산부금기,,,,
179531BIJ,Ketamine,임산부금기,,,,
179532BIJ,Ketamine,임산부금기,,,,
179533BIJ,Ketamine,임산부금기,,,,
180101ATB,Ketotifen,임산부금기,,,,
180140ASY,Ketotifen,임산부금기,,,,
180142ASY,Ketotifen,임산부금기,,,,
180143ASY,Ketotifen,임산부금기,,,,
180151ASY,Ketotifen,임산부금기,,,,
A74604ALQ,L-arginine-L-aspartate,임산부금기,,,,
A74607ALQ,L-arginine-L-aspartate,임산부금기,,,,
A74608ALQ,L-arginine-L-aspartate,임산부금기,,,,
A74609ALQ,L-arginine-L-aspartate,임산부금기,,,,
E22401ALQ,L-arginine-L-aspartate,임산부금기,,,,
181401BIJ,L-asparaginase,임산부금기,,,,
181403BIJ,L-asparaginase,임산부금기,,,,
123801ACH,L-carbocysteine,연령금기,,,,
123804ACH,L-carbocysteine,연령금기,,,,
123840ASY,L-carbocysteine,연령금기,,,,
123841ASY,L-carbocysteine,연령금기,,,,
123843ASY,L-carbocysteine,연령금기,,,,
123844ASY,L-carbocysteine,연령금기,,,,
611702ATB,Lacosamide,임산부금기,,,,
611703ATB,Lacosamide,임산부금기,,,,
611704ATB,Lacosamide,임산부금기,,,,
611705ATB,Lacosamide,임산부금기,,,,
611705BIJ,Lacosamide,임산부금기,,,,
489302ATB,Lafutidine,임산부금기,,,,
180901ATB,Lamivudine,임산부금기,,,,
180902ATB,Lamivudine,임산부금기,,,,
507501ATB,Lapatinib ditosylate (as lapatinib),임산부금기,,,,
181502COS,Latanoprost,임산부금기,,,,
181531COS,Latanoprost,임산부금기,,,,
181532COS,Latanoprost,임산부금기,,,,
540600COS,"Latanoprost, Timolol",임산부금기,,,,
694601COS,Latanoprostene bunod,임산부금기,,,,
694602COS,Latanoprostene bunod,임산부금기,,,,
695101ATB,Lazertinib,임산부금기,,,,
181801BIJ,Lenograstim,임산부금기,,,,
181802BIJ,Lenograstim,임산부금기,,,,
181803BIJ,Lenograstim,임산부금기,,,,
676001ATB,Letermovir,임산부금기,,,,
676001BIJ,Letermovir,임산부금기,,,,
676002ATB,Letermovir,임산부금기,,,,
676002BIJ,Letermovir,임산부금기,,,,
183404CIM,Levonorgestrel,임산부금기,,,,
183930BIJ,Lidocaine,임산부금기,,,,
183932BIJ,Lidocaine,임산부금기,,,,
183933BIJ,Lidocaine,임산부금기,,,,
183935BIJ,Lidocaine,임산부금기,,,,
183936BIJ,Lidocaine,임산부금기,,,,
183939BIJ,Lidocaine,임산부금기,,,,
184403ATB,Liothyronine,임산부금기,,,,
684901BIJ,Lipegfilgrastim,임산부금기,,,,
558101BIJ,Live Attenuated Japanese Encephalitis Vaccine,임산부금기,,,,
558102BIJ,Live Attenuated Japanese Encephalitis Vaccine,임산부금기,,,,
575501BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
575502BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
575503BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
575504BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
575505BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
575506BIJ,Live Attenuated Varicella-Zoster Vaccines,임산부금기,,,,
598400BIJ,Live attenuated Measles Vaccine+Live Mumps Vaccine+Live Attenuated Rubella Vaccine,임산부금기,,,,
598500BIJ,Live attenuated Measles Vaccine+Live Mumps Vaccine+Live Attenuated Rubella Vaccine,임산부금기,,,,
185102ACH,Loperamide,임산부금기,,,,
D43100ATB,Loperamide,임산부금기,,,,
465001BIJ,Lutropin α,임산부금기,,,,
186933CCM,Mafenide acetate,임산부금기,,,,
187602BIJ,Magnesium sulfate,임산부금기,,,,
187630BIJ,Magnesium sulfate,임산부금기,,,,
187631BIJ,Magnesium sulfate,임산부금기,,,,
187632BIJ,Magnesium sulfate,임산부금기,,,,
187633BIJ,Magnesium sulfate,임산부금기,,,,
418400BIJ,Magnesium sulfate,임산부금기,,,,
418500BIJ,Magnesium sulfate,임산부금기,,,,
422500BIJ,Magnesium sulfate,임산부금기,,,,
477600BIJ,Magnesium sulfate,임산부금기,,,,
477700BIJ,Magnesium sulfate,임산부금기,,,,
480500BIJ,Magnesium sulfate,임산부금기,,,,
497800BIJ,Magnesium sulfate,임산부금기,,,,
634700ALQ,Magnesium sulfate,임산부금기,,,,
634700APD,Magnesium sulfate,임산부금기,,,,
687300BIJ,Magnesium sulfate,임산부금기,,,,
E18700ATB,Magnesium sulfate,임산부금기,,,,
573230BIJ,Manganese chloride,임산부금기,,,,
641700BIJ,Manganese chloride,임산부금기,,,,
668300BIJ,Manganese chloride,임산부금기,,,,
320800BIJ,Manganese sulfate,임산부금기,,,,
488300BIJ,Manganese sulfate,임산부금기,,,,
662500BIJ,Manganese sulfate,임산부금기,,,,
673400BIJ,Manganese sulfate,임산부금기,,,,
705800BIJ,Manganese sulfate,임산부금기,,,,
490201BIJ,Mebrofenin,임산부금기,,,,
190001ATB,Memantine,임산부금기,,,,
190003ATD,Memantine,임산부금기,,,,
190004ATB,Memantine,임산부금기,,,,
190004ATD,Memantine,임산부금기,,,,
190031ALQ,Memantine,임산부금기,,,,
190430BIJ,Mepivacaine,임산부금기,,,,
190431BIJ,Mepivacaine,임산부금기,,,,
502300ATR,Metformin Hydrochloride+sitagliptin phosphate(as sitagliptin),임산부금기,,,,
513700ATR,Metformin Hydrochloride+sitagliptin phosphate(as sitagliptin),임산부금기,,,,
192004ATB,Methocarbamol,임산부금기,,,,
192030BIJ,Methocarbamol,임산부금기,,,,
192031BIJ,Methocarbamol,임산부금기,,,,
193201ACR,Methylphenidate,임산부금기,,,,
193201ATB,Methylphenidate,임산부금기,,,,
193202ACR,Methylphenidate,임산부금기,,,,
193202ATB,Methylphenidate,임산부금기,,,,
193203ATR,Methylphenidate,임산부금기,,,,
193204ATR,Methylphenidate,임산부금기,,,,
193205ACR,Methylphenidate,임산부금기,,,,
193206ATR,Methylphenidate,임산부금기,,,,
193207ACR,Methylphenidate,임산부금기,,,,
193208ACR,Methylphenidate,임산부금기,,,,
193209ATR,Methylphenidate,임산부금기,,,,
193701ATB,Metoclopramide,임산부금기,,,,
193730BIJ,Metoclopramide,임산부금기,,,,
497401BIJ,Micafungin,임산부금기,,,,
627601ATB,Micronized Riociguat,병용금기,,,,
627602ATB,Micronized Riociguat,병용금기,,,,
627605ATB,Micronized Riociguat,병용금기,,,,
707001ACS,Molnupiravir,임산부금기,,,,
614402BIJ,N-(3-Fluoropropyl)-2β-Carbomethoxy-3β-(4-[123I]iodophenyl)tropane,임산부금기,,,,
633601ACS,Nalfurafine,임산부금기,,,,
622530BIJ,Natalizumab,임산부금기,,,,
703301ATB,Neratinib,임산부금기,,,,
413301ATB,Niclosamide,임산부금기,,,,
572801CSI,Nitrous oxide,병용금기,,,,
202701ACH,Nizatidine,임산부금기,,,,
202701ATB,Nizatidine,임산부금기,,,,
202704ATB,Nizatidine,임산부금기,,,,
668101BIJ,Nusinersen,임산부금기,,,,
643501ACH,Olaparib,임산부금기,,,,
643502ATB,Olaparib,임산부금기,,,,
643503ATB,Olaparib,임산부금기,,,,
572901BIJ,Omalizumab,임산부금기,,,,
572903BIJ,Omalizumab,임산부금기,,,,
572904BIJ,Omalizumab,임산부금기,,,,
204601ATD,Ondansetron,임산부금기,,,,
204603ATB,Ondansetron,임산부금기,,,,
204603ATD,Ondansetron,임산부금기,,,,
204630BIJ,Ondansetron,임산부금기,,,,
204631BIJ,Ondansetron,임산부금기,,,,
689301ACH,Opicapone,임산부금기,,,,
207001ATB,Oxybutynin,임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
359001ATR,Oxycodone,임산부금기,,,,
359002ATB,Oxycodone,임산부금기,,,,
359002ATR,Oxycodone,임산부금기,,,,
359003ATR,Oxycodone,임산부금기,,,,
359004ATB,Oxycodone,임산부금기,,,,
359007ATR,Oxycodone,임산부금기,,,,
359030BIJ,Oxycodone,임산부금기,,,,
359031BIJ,Oxycodone,임산부금기,,,,
490030BIJ,Palonosetron,임산부금기,,,,
490031BIJ,Palonosetron,임산부금기,,,,
674900ACH,Palonosetron + Netupitant,임산부금기,,,,
430731BIJ,Paricalcitol,임산부금기,,,,
618830BIJ,Pegfilgrastim,임산부금기,,,,
654404BIJ,Peginterferon beta-1a,임산부금기,,,,
633130BIJ,Pegteograstim,임산부금기,,,,
210301BIJ,Pentamidine,임산부금기,,,,
211930BIJ,Phenylephrine,임산부금기,,,,
402300ATB,Phenylephrine,임산부금기,,,,
530800ASY,Phenylephrine,임산부금기,,,,
A05900ACH,Phenylephrine,임산부금기,,,,
A16800ASY,Phenylephrine,임산부금기,,,,
A18900ATB,Phenylephrine,임산부금기,,,,
A82400ATB,Phenylephrine,임산부금기,,,,
C89800ASY,Phenylephrine,임산부금기,,,,
C89900ASY,Phenylephrine,임산부금기,,,,
D10900ACS,Phenylephrine,임산부금기,,,,
D60700ACS,Phenylephrine,임산부금기,,,,
D84300ACH,Phenylephrine,임산부금기,,,,
D85300ALQ,Phenylephrine,임산부금기,,,,
D87800ACH,Phenylephrine,임산부금기,,,,
D89300ASY,Phenylephrine,임산부금기,,,,
D89400ASY,Phenylephrine,임산부금기,,,,
D89500ASY,Phenylephrine,임산부금기,,,,
D89600ASY,Phenylephrine,임산부금기,,,,
D95200ALQ,Phenylephrine,임산부금기,,,,
E10100ACS,Phenylephrine,임산부금기,,,,
E39300ALQ,Phenylephrine,임산부금기,,,,
212301ATB,Pilocarpine,임산부금기,,,,
212331COS,Pilocarpine,임산부금기,,,,
212332COS,Pilocarpine,임산부금기,,,,
212501ATB,Pinaverium,임산부금기,,,,
620301ATB,Pirfenidone,임산부금기,,,,
620302ATB,Pirfenidone,임산부금기,,,,
620303ATB,Pirfenidone,임산부금기,,,,
566202ATE,Posaconazole,임산부금기,,,,
566230ASS,Posaconazole,임산부금기,,,,
215801ATR,Potassium chloride,임산부금기,,,,
215803BIJ,Potassium chloride,임산부금기,,,,
215804BIJ,Potassium chloride,임산부금기,,,,
215807BIJ,Potassium chloride,임산부금기,,,,
539200COS,Potassium iodide + Sodium iodide,임산부금기,,,,
539300COS,Potassium iodide + Sodium iodide,임산부금기,,,,
216201CLQ,Povidone-iodine,임산부금기,,,,
216203CSP,Povidone-iodine,임산부금기,,,,
216206CDS,Povidone-iodine,임산부금기,,,,
216206CLQ,Povidone-iodine,임산부금기,,,,
216214CDS,Povidone-iodine,임산부금기,,,,
216227CDS,Povidone-iodine,임산부금기,,,,
216240CLQ,Povidone-iodine,임산부금기,,,,
216245COM,Povidone-iodine,임산부금기,,,,
216247CLQ,Povidone-iodine,임산부금기,,,,
216248CSI,Povidone-iodine,임산부금기,,,,
216250CDS,Povidone-iodine,임산부금기,,,,
216252CLQ,Povidone-iodine,임산부금기,,,,
216253CLQ,Povidone-iodine,임산부금기,,,,
216254CLQ,Povidone-iodine,임산부금기,,,,
216932CCM,Prednicarbate,임산부금기,,,,
216932COM,Prednicarbate,임산부금기,,,,
216933CCM,Prednicarbate,임산부금기,,,,
216933COM,Prednicarbate,임산부금기,,,,
216935CCM,Prednicarbate,임산부금기,,,,
216935CLT,Prednicarbate,임산부금기,,,,
216936CLQ,Prednicarbate,임산부금기,,,,
216939CCM,Prednicarbate,임산부금기,,,,
216939COM,Prednicarbate,임산부금기,,,,
216940CLQ,Prednicarbate,임산부금기,,,,
216941CLQ,Prednicarbate,임산부금기,,,,
216943CLQ,Prednicarbate,임산부금기,,,,
216944COM,Prednicarbate,임산부금기,,,,
216945CLT,Prednicarbate,임산부금기,,,,
216946CCM,Prednicarbate,임산부금기,,,,
216947CCM,Prednicarbate,임산부금기,,,,
216947COM,Prednicarbate,임산부금기,,,,
480401ACH,Pregabalin,임산부금기,,,,
480402ACH,Pregabalin,임산부금기,,,,
480403ACH,Pregabalin,임산부금기,,,,
480404ACH,Pregabalin,임산부금기,,,,
218230BIJ,Procaine,임산부금기,,,,
218301ATB,Procaterol,임산부금기,,,,
218302ATB,Procaterol,임산부금기,,,,
219701ATB,Propiverine,임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
219702ATB,Propiverine,임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
